ID;Nachname;Vorname;Klasse;Geburtsdatum;E-Mail
1652;Behrends;Bernd;1b;10.06.2019;B.Behrends@meineschule.de
1589;Berg;Marie;1b;06.10.2018;M.Berg@meineschule.de
1667;Börsting;Stephanie;1b;06.12.2019;S.Börsting@meineschule.de
1617;Classe;Jana;1b;17.02.2019;J.Classe@meineschule.de
1629;Deuter;Kathrin, Katrin;1b;21.11.2019;K.Deuter@meineschule.de
1618;Gärd;Paul;1b;01.12.2019;P.Gärd@meineschule.de
1623;Greifeld;Lena;1b;17.10.2019;L.Greifeld@meineschule.de
1662;Hasburgen;Ulrike;1b;02.07.2019;U.Hasburgen@meineschule.de
1587;John;Melanie;1b;04.02.2019;M.John1@meineschule.de
1614;Jonas;Tom;1b;06.06.2019;T.Jonas@meineschule.de
1632;Kern;Benjamin;1b;01.08.2019;B.Kern@meineschule.de
1650;Lincke;Daniel;1b;29.11.2018;D.Lincke@meineschule.de
1628;Ludwig;Melanie;1b;22.02.2020;M.Ludwig@meineschule.de
1648;Matschke;Peter;1b;25.04.2019;P.Matschke@meineschule.de
1640;Niehaus;Klaus;1b;18.09.2019;K.Niehaus@meineschule.de
1620;Olsen;Petra;1b;24.02.2019;P.Olsen@meineschule.de
1657;Pauly;Daniel;1b;01.05.2019;D.Pauly@meineschule.de
1646;Pieper;Marina;1b;25.06.2019;M.Pieper@meineschule.de
1631;Ritz;Nicole;1b;24.12.2019;N.Ritz@meineschule.de
1643;Rouwertsen;Sandra;1b;09.03.2019;S.Rouwertsen@meineschule.de
1660;Sauerbrey;Christian;1b;29.12.2019;C.Sauerbrey@meineschule.de
1656;Schram;Vanessa;1b;08.05.2019;V.Schram@meineschule.de
1635;tenHompel;Philipp;1b;09.05.2019;P.tenHompel@meineschule.de
1661;Thadden;Anna;1b;09.10.2019;A.Thadden@meineschule.de
1726;Tschudy;Kathrin, Katrin;1b;12.06.2019;K.Tschudy@meineschule.de
1654;Willmot;Uta;1b;26.07.2019;U.Willmot@meineschule.de
1626;Zickow;Ulrich;1b;19.06.2019;U.Zickow@meineschule.de
1570;Bainnin;Nicole;2a;28.03.2018;N.Bainnin@meineschule.de
1595;Brocke;Marie;2a;18.07.2018;M.Brocke@meineschule.de
1562;Cossel;Leon;2a;11.10.2018;L.Cossel@meineschule.de
1588;Diedrichsen;Christin;2a;17.01.2019;C.Diedrichsen@meineschule.de
1566;Ehden;Angelika;2a;18.07.2018;A.Ehden@meineschule.de
1576;Farver;Brigitte;2a;07.03.2018;B.Farver@meineschule.de
1552;Feis;Vanessa;2a;25.09.2018;V.Feis@meineschule.de
1567;Fleischer;Marina;2a;31.10.2017;M.Fleischer@meineschule.de
1598;Grooßen;Jürgen;2a;26.12.2017;J.Grooßen@meineschule.de
1575;Haniel;Erik;2a;07.07.2018;E.Haniel@meineschule.de
1500;Hardinghaus;Marcel;2a;30.10.2017;M.Hardinghaus@meineschule.de
1563;Hinrichs;Kerstin;2a;01.10.2018;K.Hinrichs@meineschule.de
1586;Jürgensen;Heike;2a;13.07.2018;H.Jürgensen@meineschule.de
1573;Keßler;Kristian;2a;03.05.2018;K.Keßler@meineschule.de
1555;Kleiminger;Frank;2a;14.02.2018;F.Kleiminger@meineschule.de
1537;Koldum;Lena;2a;08.02.2018;L.Koldum@meineschule.de
1546;Krickelbeck;Stephanie;2a;07.07.2018;S.Krickelbeck@meineschule.de
1515;Kulow;Anne;2a;08.09.2017;A.Kulow@meineschule.de
1553;Lantzing;Matthias;2a;17.06.2018;M.Lantzing@meineschule.de
1511;Lütkens;Jessica;2a;12.11.2017;J.Lütkens@meineschule.de
1582;Mandicke;Christian;2a;14.12.2017;C.Mandicke@meineschule.de
1596;Mertz;Stephan;2a;17.02.2018;S.Mertz@meineschule.de
1602;Müller;Nadine;2a;04.11.2018;N.Müller@meineschule.de
1601;Seim;Christine;2a;26.03.2018;C.Seim@meineschule.de
1609;Steffens;Mike;2a;24.10.2018;M.Steffens@meineschule.de
1547;Stever;Jennifer;2a;08.06.2018;J.Stever@meineschule.de
1560;Stünckel;Mandy;2a;29.10.2017;M.Stünckel@meineschule.de
1534;Weihs;Kristian;2a;10.07.2016;K.Weihs@meineschule.de
1568;Albertsen;Stephan;2b;17.05.2018;S.Albertsen@meineschule.de
1551;Barghusen;Klaudia;2b;01.11.2018;K.Barghusen@meineschule.de
1502;Berg;Franziska;2b;18.07.2017;F.Berg@meineschule.de
1579;Berque;Karin;2b;25.02.2018;K.Berque@meineschule.de
1580;Blecher;Monika;2b;03.08.2018;M.Blecher@meineschule.de
1585;Dettmann;Barbara;2b;02.03.2018;B.Dettmann@meineschule.de
1554;Ebsen;Sophie;2b;21.03.2018;S.Ebsen@meineschule.de
1571;Esselborn;Antje;2b;04.09.2018;A.Esselborn@meineschule.de
1592;Felt;Daniela;2b;16.05.2018;D.Felt@meineschule.de
1594;Friedrichs;René;2b;28.04.2018;R.Friedrichs@meineschule.de
1590;Gardelin;Katharina;2b;31.12.2017;K.Gardelin@meineschule.de
1548;Haumer;Eric;2b;25.10.2018;E.Haumer@meineschule.de
1583;Hubbell;Frank;2b;16.05.2018;F.Hubbell@meineschule.de
1578;John;Max;2b;06.09.2018;M.John2@meineschule.de
1593;Jungblut;Tom;2b;26.05.2018;T.Jungblut@meineschule.de
1591;Kappler;Manuela;2b;23.11.2017;M.Kappler@meineschule.de
1597;Kibbel;René;2b;28.04.2018;R.Kibbel@meineschule.de
1603;Knop;Kerstin;2b;03.11.2017;K.Knop@meineschule.de
1600;Koldum;Thomas;2b;12.07.2018;T.Koldum@meineschule.de
1556;Lippmann;Christian;2b;19.02.2018;C.Lippmann@meineschule.de
1577;Lückels;Uta;2b;05.02.2018;U.Lückels@meineschule.de
1569;Nißen;Monika;2b;20.02.2018;M.Nißen@meineschule.de
1565;Ramroth;Ute;2b;21.12.2018;U.Ramroth@meineschule.de
1572;Rohling;Patrick;2b;03.01.2018;P.Rohling@meineschule.de
1561;Rollier;Christin;2b;18.12.2017;C.Rollier@meineschule.de
1584;Rütting;Claudia;2b;12.12.2017;C.Rütting@meineschule.de
1536;Sänger;Sara;2b;29.09.2017;S.Sänger@meineschule.de
1581;Wilmes;Benjamin;2b;28.11.2018;B.Wilmes@meineschule.de
1558;Zuber;Monika;2b;17.12.2018;M.Zuber@meineschule.de
1523;Berg;Angelika;3a;14.12.2017;A.Berg@meineschule.de
1484;Bergener;Stefan;3a;14.03.2017;S.Bergener@meineschule.de
1482;Canow;Barbara;3a;24.01.2017;B.Canow@meineschule.de
1669;Dalcke;Martin;3a;31.07.2017;M.Dalcke@meineschule.de
1505;Emonts;Ralph;3a;24.02.2017;R.Emonts@meineschule.de
1449;Frohnert;Franziska;3a;20.05.2016;F.Frohnert@meineschule.de
1493;Gaillard;Monika;3a;28.12.2017;M.Gaillard@meineschule.de
1520;Gregor;Tom;3a;15.08.2017;T.Gregor@meineschule.de
1524;Haack;Christian;3a;23.08.2017;C.Haack@meineschule.de
1443;Hartmann;Doreen;3a;25.09.2016;D.Hartmann@meineschule.de
1516;Kammerer;Silke;3a;14.04.2017;S.Kammerer@meineschule.de
1668;Kettemann;Antje;3a;14.05.2016;A.Kettemann@meineschule.de
1491;Klauß;Melanie;3a;01.06.2017;M.Klauß@meineschule.de
1513;Klug;Mandy;3a;15.12.2017;M.Klug@meineschule.de
1522;Koslowska;Marco;3a;12.07.2017;M.Koslowska@meineschule.de
1483;Kreha;Heike;3a;13.05.2017;H.Kreha@meineschule.de
1510;Menne;Sara;3a;16.06.2017;S.Menne@meineschule.de
1526;Möllers;Patrick;3a;29.08.2017;P.Möllers@meineschule.de
1501;Prellberg;Bernd;3a;08.05.2017;B.Prellberg@meineschule.de
1606;Röcher;Christine;3a;08.05.2017;C.Röcher@meineschule.de
1529;Salenski;Anke;3a;04.12.2017;A.Salenski@meineschule.de
1518;Sauer;Lea;3a;12.07.2017;L.Sauer@meineschule.de
1527;Schassen;Silke;3a;27.07.2017;S.Schassen@meineschule.de
1490;Schütz;Robert;3a;26.05.2017;R.Schütz@meineschule.de
1444;Spiegel;Bernd;3a;14.01.2017;B.Spiegel@meineschule.de
1514;Suermann;Jürgen;3a;14.12.2017;J.Suermann@meineschule.de
1528;Venneker;David;3a;04.11.2017;D.Venneker@meineschule.de
1417;Wojcik;Tobias;3a;17.10.2016;T.Wojcik@meineschule.de
1492;Bockelmann;Eric;3b;02.08.2017;E.Bockelmann@meineschule.de
1509;Brockmann;Jens;3b;27.05.2017;J.Brockmann@meineschule.de
1465;Bultmann;Anna;3b;05.10.2016;A.Bultmann@meineschule.de
1503;Connover;David;3b;18.10.2017;D.Connover@meineschule.de
1427;Conradi;Heike;3b;11.08.2016;H.Conradi@meineschule.de
1504;Dornseifer;Philipp;3b;08.04.2017;P.Dornseifer@meineschule.de
1531;Goltschmit;Mandy;3b;14.10.2017;M.Goltschmit@meineschule.de
1512;Heinoff;Maria;3b;18.01.2017;M.Heinoff@meineschule.de
1494;Heller;Dennis;3b;25.07.2017;D.Heller@meineschule.de
1487;Himmelstierna;Kevin;3b;07.05.2017;K.Himmelstierna@meineschule.de
1485;Himmelstützer;Susanne;3b;12.04.2017;S.Himmelstützer@meineschule.de
1533;Kimmerlin;Marcel;3b;14.10.2017;M.Kimmerlin@meineschule.de
1530;Kirckhoff;Doreen;3b;23.10.2017;D.Kirckhoff@meineschule.de
1472;Kusserow;Marco;3b;27.09.2016;M.Kusserow@meineschule.de
1506;Marteville;Claudia;3b;07.10.2017;C.Marteville@meineschule.de
1498;Niemeyer;Stephan;3b;04.06.2017;S.Niemeyer@meineschule.de
1496;Pampe;Nadine;3b;26.07.2017;N.Pampe@meineschule.de
1481;Pick;Jens;3b;27.02.2017;J.Pick@meineschule.de
1488;Riggers;Sebastian;3b;15.02.2017;S.Riggers@meineschule.de
1435;Schmallenbach;Daniela;3b;20.10.2016;D.Schmallenbach@meineschule.de
1497;Schulte-Janning;Gabriele;3b;01.10.2017;G.Schulte-Janning@meineschule.de
1438;Steingrobe;Franziska;3b;12.10.2016;F.Steingrobe@meineschule.de
1499;Steuber;Ralf;3b;31.07.2017;R.Steuber@meineschule.de
1486;Strömer;Mathias;3b;04.11.2016;M.Strömer@meineschule.de
1532;Teppel;Frank;3b;06.08.2017;F.Teppel@meineschule.de
1469;Wördemann;Stephan;3b;21.08.2016;S.Wördemann@meineschule.de
1525;Wubben;Antje;3b;09.03.2017;A.Wubben@meineschule.de
1519;Wubbens;Sven;3b;15.09.2017;S.Wubbens@meineschule.de
1544;Beesten;Marina;4a;10.09.2016;M.Beesten@meineschule.de
1459;Bengtsson;Kevin;4a;29.08.2016;K.Bengtsson@meineschule.de
1450;Chillot;Ralf;4a;06.10.2016;R.Chillot@meineschule.de
1432;Creutzer;Mario;4a;15.11.2016;M.Creutzer@meineschule.de
1430;d'Alençon;Kerstin;4a;15.01.2016;K.d'Alençon@meineschule.de
1414;Drewes;Christin;4a;06.04.2016;C.Drewes@meineschule.de
1466;Engelmann;Vanessa;4a;05.01.2016;V.Engelmann@meineschule.de
1325;Farian;Sven;4a;12.04.2015;S.Farian@meineschule.de
1456;Feld;Jessika;4a;21.12.2016;J.Feld@meineschule.de
1460;Freithoff;Ralf;4a;25.11.2016;R.Freithoff@meineschule.de
1453;Gockel;Uta;4a;04.08.2016;U.Gockel@meineschule.de
1454;Grosse-Hündfeld;Kristin;4a;05.11.2016;K.Grosse-Hündfeld@meineschule.de
1413;Hemphill;Jana;4a;03.10.2016;J.Hemphill@meineschule.de
1318;Hork;Thorsten;4a;19.05.2015;T.Hork@meineschule.de
1467;Kimmerlin;Maria;4a;03.07.2016;M.Kimmerlin@meineschule.de
1303;Kupferschmidt;Claudia;4a;22.06.2015;C.Kupferschmidt@meineschule.de
1431;Mallory;Sandra;4a;20.02.2016;S.Mallory@meineschule.de
1412;Siebert;Christin;4a;23.07.2016;C.Siebert@meineschule.de
1405;Thiessen;Thomas;4a;25.12.2015;T.Thiessen@meineschule.de
1408;Töpler;Jessika;4a;16.11.2015;J.Töpler@meineschule.de
1479;Tretow;Andreas;4a;19.02.2016;A.Tretow@meineschule.de
1474;Vocke;Anja;4a;30.11.2015;A.Vocke@meineschule.de
1406;Wallmeyer;Sophia;4a;08.05.2016;S.Wallmeyer@meineschule.de
1448;Westerbrochs;Petra;4a;17.11.2016;P.Westerbrochs@meineschule.de
1428;Wölfer;Maximilian;4a;22.05.2016;M.Wölfer@meineschule.de
1447;Bastian;Kevin;4b;15.03.2016;K.Bastian@meineschule.de
1434;Bernonville;Mandy;4b;15.05.2016;M.Bernonville@meineschule.de
1313;Brokmeyer;Dirk;4b;28.02.2015;D.Brokmeyer@meineschule.de
1426;Deuter;Dirk;4b;29.06.2016;D.Deuter@meineschule.de
1442;Feddersen;Sebastian;4b;01.10.2016;S.Feddersen@meineschule.de
1400;Friedrich;Uta;4b;05.08.2016;U.Friedrich@meineschule.de
1441;Geizkofler;Antje;4b;26.12.2015;A.Geizkofler@meineschule.de
1419;Gieben;Erik;4b;19.04.2016;E.Gieben@meineschule.de
1445;Grünholz;Gabriele;4b;30.05.2016;G.Grünholz@meineschule.de
1308;Hase;Antje;4b;25.10.2015;A.Hase@meineschule.de
1423;Heuer;Karolin;4b;10.09.2016;K.Heuer@meineschule.de
1452;Kißler;Petra;4b;18.03.2016;P.Kißler@meineschule.de
1471;Krämer;Uwe;4b;16.07.2016;U.Krämer@meineschule.de
1399;Lanzing;Birgit;4b;13.07.2016;B.Lanzing@meineschule.de
1424;Mauw;Tim;4b;12.02.2016;T.Mauw@meineschule.de
1415;Merle;Florian;4b;25.03.2016;F.Merle@meineschule.de
1407;Meyerdirks;Christian;4b;01.04.2016;C.Meyerdirks@meineschule.de
1429;Nommsen;Sophia;4b;20.03.2016;S.Nommsen@meineschule.de
1468;Öhelschlegel;Doreen;4b;21.08.2016;D.Öhelschlegel@meineschule.de
1508;Post;Jens;4b;11.04.2017;J.Post@meineschule.de
1404;Rösch;Diana;4b;15.12.2015;D.Rösch@meineschule.de
1422;Schödl;Katja;4b;22.06.2016;K.Schödl@meineschule.de
1446;Sperry;Phillipp;4b;28.05.2016;P.Sperry@meineschule.de
1436;Welter;Annett;4b;17.12.2016;A.Welter@meineschule.de
1421;Zoll;Lisa;4b;02.05.2016;L.Zoll@meineschule.de
